Dia,Cliente,Operacion,Booking,Contenedor,Volumen,Precinto,Observaciones,Estado,Hora,e-tally
26/11,Curtiembre Infante S...,39631-0-1,BUE500214300,PCIU-952501-0,0.0,***************     ,TRP  11HS,12:05 Realizado,8:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27886
26/11,Norfor Sa,39512-0-1,340500045096,EISU-856686-4,0.0,******************* ,TRP  11HS,12:05 Realizado,8:30 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27845
26/11,Mader Zu S.R.L.,39588-0-1,COSU6435825100,BSIU-930367-0,0.0,*************       ,TRP  15HS,14:26 Realizado,8:30 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27881
26/11,Mader Zu S.R.L.,39589-0-1,COSU6435825100,OOCU-725148-3,0.0,******************  ,TRP  15HS,14:26 Realizado,8:30 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27882
26/11,Mader Zu S.R.L.,39590-0-1,COSU6435825100,CSNU-653217-1,0.0,************        ,TRP  15HS,14:27 Realizado,8:30 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27883
26/11,Curtiembre Infante S...,39630-0-1,BUE500214300,PIDU-428958-0,0.0,**********          ,TRP  11HS,12:05 Realizado,8:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27885
26/11,Smart Trading S.A.S,39661-0-1,BUA0355899,APZU-367462-8,0.0,R8690569            ,TRP  09HS,10:04 Realizado,9:30 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27891
27/11,Forestal Guarani Sa,39703-0-1,262101951,MRKU-239327-7,0.0,***********         ,TERMINAL 4   11HS,10:58 Realizado,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27893
27/11,Forestal Guarani Sa,39705-0-1,262101951,MSKU-070966-6,0.0,**************      ,TERMINAL 4  11HS,10:58 Realizado,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27894
27/11,Asecor Srl,39638-0-1,EBKG14828800,MSMU-647054-3,0.0,FX32925842          ,EXOLGAN  16HS,19:43 Realizado,8:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27895
27/11,Isischu Srl,39639-0-1,EBKG14813532,MSNU-910839-9,0.0,FX32925830          ,EXOLGAN  16HS,15:11 Realizado,8:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27892
27/11,Norfor Sa,39567-0-1,BUA0355499,TGHU-926498-0,0.0,R8691235            ,TRP 09HS,19:44 Realizado,8:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27877
27/11,Helvecia S.A.,39566-0-1,BUA0355568,SEGU-504035-0,0.0,R8691233            ,TRP  09HS,10:57 Realizado,8:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27880
28/11,Chaguar Sociedad Ano...,39747-0-1,94536178,FTAU-159149-0,0.0,************        ,EXOLGAN  19HS,20:51 Realizado,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27914
28/11,Chaguar Sociedad Ano...,39748-0-1,94536178,TEMU-190130-7,0.0,**************      ,EXOLGAN  19HS,20:51 Realizado,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27915
28/11,Henn Y Cia S.R.L.,39726-0-1,BUE500219600,PCIU-161284-4,0.0,************        ,TRP  15HS,15:46 Realizado,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27900
28/11,Chaguar Sociedad Ano...,39746-0-1,16966986,HLBU-118276-9,0.0,**************      ,EXOLGAN  19HS,20:51 Realizado,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27913
28/11,Helvecia S.A.,39744-0-1,261920622,MRKU-581559-2,0.0,***********         ,EXOLGAN  16HS,14:11 Realizado,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27910
28/11,Henn Y Cia S.R.L.,39727-0-1,BUE500219600,PCIU-121975-5,0.0,***********         ,TRP  15HS,15:46 Realizado,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27901
28/11,Pallets Nef De Raul ...,39701-0-1,ZIMUBUE9045396,TCNU-420762-4,0.0,***********         ,TERMINAL 4  11HS,11:01 Realizado,8:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27898
28/11,Lawter Argentina S.A...,39659-0-1,BUE500217100,PCIU-914940-1,0.0,***********         ,TRP   15HS,15:16 Realizado,8:30 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27888
28/11,Lawter Argentina S.A...,39660-0-1,BUE500217100,PCIU-866382-2,0.0,*************       ,TRP   15HS,15:16 Realizado,8:30 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27889
28/11,Lawter Argentina S.A...,39679-0-1,BUE500217100,PCIU-863461-3,0.0,************        ,TRP  15HS,15:17 Realizado,8:30 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27890
28/11,Borax Argentina S A,39732-0-1,262208797,MSKU-578886-3,0.0,*************       ,TERMINAL 4  13HS,12:40 Realizado,10:00,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27902
28/11,Termoplasticos Del S...,39761-0-1,28457980,FANU-134396-8,0.0,                    ,EXOLGAN  13HS,15:16 Realizado,10:00,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27920
28/11,Elementa Foods S.A.,39750-0-1,340500051665,TCNU-241181-3,0.0,*************       ,TRP  17HS,16:20 Realizado,10:00,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27907
28/11,Elementa Foods S.A.,39751-0-1,340500051665,GCXU-638311-0,0.0,************        ,TRP   17HS,16:20 Realizado,10:00,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27908
28/11,Termoplasticos Del S...,39807-0-1,28457980,HLBU-237434-4,0.0,                    ,EXOLGAN  13HS,15:16 Realizado,10:00,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27921
28/11,Chaguar Sociedad Ano...,39717-0-1,29838241,HAMU-165090-0,0.0,**********          ,EXOLGAN  13HS,20:27 Realizado,8:30 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27912
28/11,Pallets Nef De Raul ...,39699-0-1,ZIMUBUE9045396,ZCSU-727477-0,0.0,***********         ,TERMINAL 4  11HS,11:02 Realizado,8:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27896
28/11,Borax Argentina S A,39734-0-1,262208797,MRKU-741614-3,0.0,************        ,TERMINAL 4  13HS,12:40 Realizado,10:00,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27903
28/11,Pallets Nef De Raul ...,39723-0-1,ZIMUBUE9045396,JXLU-614224-0,0.0,**********          ,TERMINAL 4   11HS,11:01 Realizado,8:30 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27899
28/11,Chaguar Sociedad Ano...,39716-0-1,94536178,HAMU-404485-0,0.0,*************       ,EXOLGAN  13HS,20:26 Realizado,8:30 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27911
28/11,Pallets Nef De Raul ...,39700-0-1,ZIMUBUE9045396,ZCSU-676218-0,0.0,**********          ,TERMINAL 4  11HS,11:02 Realizado,8:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27897
01/12,Mafralac Alimenticia...,39698-0-1,28856508,CAAU-637078-4,0.0,**************      ,exolgan   16hs,14:55 Realizado,10:00,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27925
01/12,Termoplasticos Del S...,39822-0-1,36568158,RFSU-303343-2,0.0,                    ,exolgan  10hs,12:34 Realizado,10:00,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27926
01/12,Mafralac Alimenticia...,39695-0-1,ZIMUBUE9045482,ZCSU-756012-0,0.0,***********         ,terminal 4   11hs,12:33 Realizado,10:00,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27924
