id,Terminal,Fecha,Turno,Contenedor,Cliente,Booking,Tipo CNT,Dimension,Oper.,Tiempo,Estado,key,fecha_registro,chofer,Observaciones,Transporte
18.0,Trp - Terminales 1-2-3,2025-08-26,1300,EGSU-181705-4,Mma Tex S.A.,NB250661866,HC,70,TD,,17:33 Arribado,,2025-08-30T13:55:31.000842,,,
21.0,Terminal 4 - Maersk,2025-08-25,1200,MRKU-814715-7,Presmar S.A.,EXPLV25060050A,DC,30,T,,14:36 Arribado,,2025-08-30T13:55:31.274032,,,
23.0,Trp - Terminales 1-2-3,2025-08-26,1200,BMOU-162724-0,Geo Logistics Argentina S.R.L.,SZ25051521,DC,30,T,,13:40 Arribado,,2025-08-30T13:55:31.471454,,,
1246.0,EXOLGAN,2025-12-23,0700 ,MEDU-738336-8,Grapot Sa,SHOE25012353,HC,70,T,,11:37 Arribado,,2025-12-22T19:50:32.568711,,,
32.0,Exolgan,2025-08-26,1300,HAMU-298903-5,Bisora Group Sa,NBFC2506006,HC,70,T,,08:33 Arribado,,2025-08-30T13:55:32.305626,,,
36.0,Trp - Terminales 1-2-3,2025-08-26,1200,TCLU-831412-0,Raisvic S.R.L.,HDE25-0700039,HC,70,T,,13:45 Arribado,,2025-08-30T13:55:32.730655,,,
42.0,Trp - Terminales 1-2-3,2025-08-26,1100,CMAU-245895-4,Albatros Sur S.R.L.,SSZBUE00000370,DC,30,T,,13:52 Arribado,,2025-08-30T13:55:33.305695,,,
46.0,Trp - Terminales 1-2-3,2025-08-26,1300,CSNU-747361-7,Independencia 3187 Maquinarias...,TCSH2505582A,HC,70,T,,16:02 Arribado,,2025-08-30T13:55:33.674501,,,
47.0,Trp - Terminales 1-2-3,2025-08-26,1300,CSNU-883740-0,Independencia 3187 Maquinarias...,TCSH2505582B,HC,70,T,,15:55 Arribado,,2025-08-30T13:55:33.771017,,,
52.0,Trp - Terminales 1-2-3,2025-08-26,1200,APHU-728462-5,Fh&Eh S.A.S.,QGD1877585,HC,70,T,,13:43 Arribado,,2025-08-30T13:55:34.278184,,,
4.0,Exolgan,2025-09-01,1100 ,CAAU-236338-6,Mercovan Argentina S.A.,HLCULE1250708561,DC,30,TD,,15:37 Arribado,,2025-08-30T13:55:29.288731,david sanchez,,
5.0,Exolgan,2025-09-01,1100 ,FANU-373775-0,Mercovan Argentina S.A.,HLCULE1250712952,HC,70,TD,,15:41 Arribado,,2025-08-30T13:55:29.392838,jonatan barrientos,,
39.0,Exolgan,2025-09-01,1100 ,UACU-393851-8,Eagle Service Group Srl,BCNBUE250036,DC,30,TD,,15:35 Arribado,,2025-08-30T13:55:33.007878,emmanuel barrientos,,
3.0,Exolgan,2025-09-01,1100 ,HLXU-538969-0,Mercovan Argentina S.A.,HLCUBC1250624762,DC,60,TD,,16:24 Arribado,,2025-08-30T13:55:29.190173,marcelo porco,,
10.0,Exolgan,2025-09-01,1100 ,BSIU-326295-3,Lift Van Int. Co S.A,HLCULIV250724739,DC,30,TD,,15:26 Arribado,,2025-08-30T13:55:30.069842,alan porco,,
25.0,Trp - Terminales 1-2-3,2025-09-01,1900 ,SEKU-593775-4,Aoda Sa,NB250663050,HC,70,T,,20:49 Arribado,,2025-08-30T13:55:31.65279,Marcelo Peril,,
16.0,Terminal 4 - Maersk,2025-09-04,1300 ,MRSU-871029-0,Planet Seguridad S.R.L.,GISLH250700033,HC,70,T,,16:02 Arribado,,2025-08-30T13:55:30.823026,moscardini matias,,
13.0,Terminal 4 - Maersk,2025-09-03,0900 ,ZHLU-201402-8,Dpmg S.A.,278686582,is,30,T,,12:11 Arribado,,2025-08-30T13:55:30.493339,damian bertoli,es imo,
2.0,Terminal 4 - Maersk,2025-08-29,1000 ,GLDU-523598-7,Mercovan Argentina S.A.,ZIMUNYC9103797,DC,30,TD,,13:29 Arribado,,2025-08-30T13:55:29.094666,,,
12.0,Terminal 4 - Maersk,2025-09-04,1300 ,ZHLU-201409-6,Dpmg S.A.,278686583,is,30,T,,17:35 Arribado,,2025-08-30T13:55:30.251281,Claudio Schaumayer,es imo,
35.0,Terminal 4 - Maersk,2025-09-04,1100 ,MRKU-474393-9,Chemotecnica Sa,QT25Y8107651,HC,70,TD,,14:19 Arribado,,2025-08-30T13:55:32.634383,Claudio Schaumayer,,
29.0,Trp - Terminales 1-2-3,2025-09-01,1100 ,EGSU-926004-7,Dmc Import Group S.R.L.,TSSZ2507002,HC,70,T,,13:54 Arribado,,2025-08-30T13:55:32.030455,FLORIDO,,
1.0,Terminal 4 - Maersk,2025-08-25,1400,ZCSU-665893-5,Mercovan Argentina S.A.,ZIMUIAH976157,DC,60,TD,,18:36 Arribado,,2025-08-30T13:55:28.972713,.,,
6.0,Exolgan,2025-08-27,0500 ,DFSU-421991-6,Lift Van Int. Co S.A,HLCUPTY250741411,DC,60,TD,,08:25 Arribado,,2025-08-30T13:55:29.554141,,,
7.0,Terminal 4 - Maersk,2025-08-28,1400 ,HAMU-192422-0,Lift Van Int. Co S.A,HLCUBSC250841472,HC,70,TD,,08:13 Arribado,,2025-08-30T13:55:29.677086,,,
8.0,Terminal 4 - Maersk,2025-08-29,1300 ,DRYU-215401-3,Lift Van Int. Co S.A,HLCUBSC250842442,DC,30,TD,,18:28 Arribado,,2025-08-30T13:55:29.862959,,,
9.0,Terminal 4 - Maersk,2025-08-29,1300 ,FANU-138262-4,Lift Van Int. Co S.A,HLCUBSDC2507CFXR7,HC,70,TD,,18:56 Arribado,,2025-08-30T13:55:29.967769,,,
