Dia,Cliente,Operacion,Booking,Contenedor,Volumen,Precinto,Observaciones,Estado,Hora,e-tally,Chofer,Fecha y Hora Fin
20/11,Borax Argentina S A,39507-0-1,14066084,HLBU-173171-9,0.0,****************    ,EXOLGAN  13HS,17:11 Realizado,9:00 ,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27846,-,
20/11,Borax Argentina S A,39508-0-1,14066084,HLXU-128656-5,0.0,*************       ,EXOLGAN   13HS,17:13 Realizado,9:00 ,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27847,-,
20/11,Borax Argentina S A,39510-0-1,14066084,BMOU-144772-0,0.0,********************,EXOLGAN  13HS,17:14 Realizado,9:00 ,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27848,-,
20/11,Borax Argentina S A,39511-0-1,14066084,HLXU-124270-0,0.0,*****************   ,EXOLGAN  13HS,En curso,9:00 ,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27849,-,
20/11,Borax Argentina S A,39513-0-1,14066084,TEMU-165211-7,0.0,*****************   ,EXOLGAN  13HS,17:14 Realizado,9:00 ,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27850,-,
20/11,Borax Argentina S A,39524-0-1,14066084,HLBU-374346-8,0.0,***************     ,EXOLGAN  13HS,17:14 Realizado,9:00 ,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27852,-,
20/11,Elementa Foods S.A.,39557-0-1,EBKG14875622,MSDU-896651-5,0.0,FX32916517          ,EXOLGAN  10HS,12:04 Realizado,8:30 ,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27867,-,
20/11,Borax Argentina S A,39514-0-1,14066084,TLLU-256299-7,0.0,******************  ,EXOLGAN   13HS,17:14 Realizado,9:00 ,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27851,-,
20/11,Forestal Guarani Sa,39472-0-1,261211047,BEAU-518442-2,0.0,****************    ,TERMINAL 4  11HS,12:03 Realizado,8:30 ,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27865,-,
20/11,Forestal Guarani Sa,39471-0-1,261211047,MSKU-969181-9,0.0,********************,TERMINAL 4   11HS,12:03 Realizado,8:30 ,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27864,-,
20/11,Elementa Foods S.A.,39558-0-1,EBKG14875622,FFAU-157583-0,0.0,FX32916516          ,EXOLGAN  10HS,12:04 Realizado,8:30 ,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27868,-,
20/11,Elementa Foods S.A.,39561-0-1,EBKG14875622,CRSU-923289-4,0.0,FX32916527          ,EXOLGAN  10HS,12:04 Realizado,8:30 ,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27869,-,
20/11,Forestal Guarani Sa,39480-0-1,261211047,TCKU-693600-3,0.0,**************      ,TERMINAL 4  11HS,12:04 Realizado,9:00 ,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27866,-,
20/11,Mercovan Argentina S...,39560-0-1,22463591,TEMU-161843-1,0.0,***************     ,EXOLGAN   16HS,17:15 Realizado,9:30 ,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27863,-,
20/11,Borax Argentina S A,39533-0-1,14066084,HLBU-386723-7,0.0,****************    ,EXOLGAN   13HS,17:13 Realizado,9:30 ,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27859,-,
20/11,Borax Argentina S A,39532-0-1,14066084,TEMU-184901-9,0.0,****************    ,EXOLGAN  13HS,17:13 Realizado,9:30 ,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27858,-,
20/11,Borax Argentina S A,39530-0-1,14066084,HLBU-363269-6,0.0,      **************,EXOLGAN  13HS,17:13 Realizado,9:30 ,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27857,-,
20/11,Borax Argentina S A,39525-0-1,14066084,TEMU-484802-1,0.0,***************     ,EXOLGAN   13HS,17:14 Realizado,9:00 ,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27853,-,
20/11,Borax Argentina S A,39526-0-1,14066084,UACU-383885-9,0.0,********************,EXOLGAN  13HS,17:14 Realizado,9:00 ,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27854,-,
20/11,Borax Argentina S A,39527-0-1,14066084,CAIU-682277-9,0.0,********************,EXOLGAN   13HS,17:14 Realizado,9:30 ,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27855,-,
20/11,Seaside Logistic Sa,39562-0-1,261770865,CAIU-225736-6,0.0,      **************,TERMINAL 4  17HS,17:15 Realizado,10:30,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27873,-,
20/11,J. Llorente Y Cía. S...,39572-0-1,261550783,UETU-294717-1,0.0,**************      ,TERMINAL 4  15HS,17:15 Realizado,10:30,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27878,-,
20/11,Borax Argentina S A,39528-0-1,14066084,GCXU-247338-7,0.0,***************     ,EXOLGAN  13HS,17:13 Realizado,9:30 ,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27856,-,
21/11,Henn Y Cia S.R.L.,39587-0-1,  : 0                         ,HAMU-379737-7,0.0,****************    ,EXOLGAN  16HS,Pendiente,8:00 ,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27876,-,
21/11,Lift Van Int. Co S.A,39586-0-1,  : 0                         ,CAIU-668808-4,0.0,***************     ,EXOLGAN  10HS,Pendiente,8:00 ,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27875,-,
21/11,Lift Van Int. Co S.A,39522-0-1,  : 0                         ,HLBU-113273-1,0.0,****************    ,EXOLGAN  10HS,Pendiente,8:00 ,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27844,-,
