Dia,Cliente,Operacion,Booking,Contenedor,Volumen,Precinto,Observaciones,Estado,Hora,e-tally,Chofer,Fecha y Hora Fin
26/11,Curtiembre Infante S...,39631-0-1,BUE500214300,PCIU-952501-0,0.0,***************     ,TRP  11HS,12:05 Realizado,8:00 ,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27886,-,
26/11,Norfor Sa,39512-0-1,340500045096,EISU-856686-4,0.0,******************* ,TRP  11HS,12:05 Realizado,8:30 ,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27845,-,
26/11,Mader Zu S.R.L.,39588-0-1,COSU6435825100,BSIU-930367-0,0.0,*************       ,TRP  15HS,14:26 Realizado,8:30 ,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27881,-,
26/11,Mader Zu S.R.L.,39589-0-1,COSU6435825100,OOCU-725148-3,0.0,******************  ,TRP  15HS,14:26 Realizado,8:30 ,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27882,-,
26/11,Mader Zu S.R.L.,39590-0-1,COSU6435825100,CSNU-653217-1,0.0,************        ,TRP  15HS,14:27 Realizado,8:30 ,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27883,-,
26/11,Curtiembre Infante S...,39630-0-1,BUE500214300,PIDU-428958-0,0.0,**********          ,TRP  11HS,12:05 Realizado,8:00 ,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27885,-,
26/11,Smart Trading S.A.S,39661-0-1,BUA0355899,APZU-367462-8,0.0,R8690569            ,TRP  09HS,10:04 Realizado,9:30 ,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27891,-,
27/11,Forestal Guarani Sa,39705-0-1,  : 0                         ,MSKU-070966-6,0.0,**************      ,TERMINAL 4  11HS,Pendiente,9:00 ,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27894,-,
27/11,Forestal Guarani Sa,39703-0-1,  : 0                         ,MRKU-239327-7,0.0,***********         ,TERMINAL 4   11HS,Pendiente,9:00 ,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27893,-,
27/11,Helvecia S.A.,39566-0-1,  : 0                         ,SEGU-504035-0,0.0,R8691233            ,TRP  09HS,Pendiente,8:00 ,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27880,-,
27/11,Norfor Sa,39567-0-1,  : 0                         ,TGHU-926498-0,0.0,R8691235            ,TRP 09HS,Pendiente,8:00 ,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27877,-,
27/11,Asecor Srl,39638-0-1,  : 0                         ,MSMU-647054-3,0.0,FX32925842          ,EXOLGAN  16HS,Pendiente,8:00 ,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27895,-,
27/11,Isischu Srl,39639-0-1,  : 0                         ,MSNU-910839-9,0.0,FX32925830          ,EXOLGAN  16HS,Pendiente,8:00 ,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27892,-,
28/11,Pallets Nef De Raul ...,39701-0-1,  : 0                         ,TCNU-420762-4,0.0,***********         ,TERMINAL 4  11HS,Pendiente,8:00 ,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27898,-,
28/11,Pallets Nef De Raul ...,39700-0-1,  : 0                         ,ZCSU-676218-0,0.0,**********          ,TERMINAL 4  11HS,Pendiente,8:00 ,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27897,-,
28/11,Lawter Argentina S.A...,39679-0-1,  : 0                         ,PCIU-863461-3,0.0,************        ,TRP  15HS,Pendiente,8:30 ,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27890,-,
28/11,Lawter Argentina S.A...,39660-0-1,  : 0                         ,PCIU-866382-2,0.0,*************       ,TRP   15HS,Pendiente,8:30 ,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27889,-,
28/11,Lawter Argentina S.A...,39659-0-1,  : 0                         ,PCIU-914940-1,0.0,***********         ,TRP   15HS,Pendiente,8:30 ,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27888,-,
28/11,Chaguar Sociedad Ano...,39717-0-1,  : 0                         ,HAMU-165090-0,0.0,**********          ,EXOLGAN  13HS,Pendiente,8:30 ,,-,
28/11,Pallets Nef De Raul ...,39723-0-1,  : 0                         ,JXLU-614224-0,0.0,**********          ,TERMINAL 4   11HS,Pendiente,8:30 ,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27899,-,
28/11,Pallets Nef De Raul ...,39699-0-1,  : 0                         ,ZCSU-727477-0,0.0,***********         ,TERMINAL 4  11HS,Pendiente,8:00 ,http://dassaweb.mqbic.com/NewTallyExpoConsumo.php?id=27896,-,
28/11,Chaguar Sociedad Ano...,39716-0-1,  : 0                         ,HAMU-404485-0,0.0,*************       ,EXOLGAN  13HS,Pendiente,8:30 ,,-,
