Comprobante,Cliente,Vencimiento,Saldo,Dias
FCA 0003-00023911,Mercovan Argentina Srl,2024-12-27,"$351.072,00",442
FCA 0003-00027830,Mercovan Argentina S.A.,2025-11-19,"$786.500,00",115
FCA 0003-00027968,Mercovan Argentina S.A.,2025-11-29,"$3.447.203,79",105
FCA 0003-00028009,Mercovan Argentina S.A.,2025-12-04,"$3.725.279,32",100
FCA 0003-00028010,Mercovan Argentina S.A.,2025-12-04,"$2.699.022,01",100
FCA 0003-00028011,Mercovan Argentina S.A.,2025-12-04,"$1.589.074,85",100
FCA 0003-00028012,Mercovan Argentina S.A.,2025-12-04,"$2.452.756,64",100
FCA 0003-00028083,Mercovan Argentina S.A.,2025-12-11,"$2.648.443,16",93
FCA 0003-00028086,Mercovan Argentina S.A.,2025-12-11,"$702.653,05",93
FCA 0003-00028196,Mercovan Argentina S.A.,2025-12-17,"$2.460.016,64",87
FCA 0003-00028222,Mercovan Argentina S.A.,2025-12-18,"$2.457.079,39",86
FCA 0003-00028302,Mercovan Argentina S.A.,2025-12-25,"$566.280,00",79
FCA 0003-00028306,Mercovan Argentina S.A.,2025-12-25,"$3.195.834,65",79
FCA 0003-00028406,Mercovan Argentina S.A.,2026-01-01,"$3.335.130,87",72
FCA 0003-00028486,Mercovan Argentina S.A.,2026-01-07,"$3.892.817,32",66
FCA 0003-00028513,Mercovan Argentina S.A.,2026-01-10,"$2.823.355,92",63
FCA 0003-00028621,Mercovan Argentina S.A.,2026-01-20,"$4.492.133,95",53
FCA 0003-00028622,Mercovan Argentina S.A.,2026-01-20,"$3.198.945,61",53
FCA 0003-00028647,Mercovan Argentina S.A.,2026-01-22,"$2.617.631,72",51
FCA 0003-00028676,Mercovan Argentina S.A.,2026-01-23,"$3.499.064,93",50
FCA 0003-00028677,Mercovan Argentina S.A.,2026-01-23,"$2.603.598,14",50
FCA 0003-00028741,Mercovan Argentina S.A.,2026-01-29,"$2.670.105,19",44
FCA 0003-00028760,Mercovan Argentina S.A.,2026-01-31,"$2.962.945,15",42
FCA 0003-00028784,Mercovan Argentina S.A.,2026-02-04,"$1.658.752,70",38
FCA 0003-00028798,Mercovan Argentina S.A.,2026-02-05,"$2.303.562,91",37
FCA 0003-00028820,Mercovan Argentina S.A.,2026-02-06,"$2.364.617,39",36
FCA 0003-00028834,Mercovan Argentina S.A.,2026-02-07,"$2.791.413,13",35
FCA 0003-00028912,Mercovan Argentina S.A.,2026-02-14,"$1.562.715,67",28
FCA 0003-00028913,Mercovan Argentina S.A.,2026-02-14,"$1.515.937,07",28
FCA 0003-00028936,Mercovan Argentina S.A.,2026-02-17,"$2.766.744,86",25
FCA 0003-00028949,Mercovan Argentina S.A.,2026-02-18,"$2.214.056,79",24
FCA 0003-00028969,Mercovan Argentina S.A.,2026-02-19,"$2.214.442,78",23
FCA 0003-00029046,Mercovan Argentina S.A.,2026-02-27,"$3.051.001,69",15
FCA 0003-00029094,Mercovan Argentina S.A.,2026-03-05,"$2.121.224,84",9
FCA 0003-00029117,Mercovan Argentina S.A.,2026-03-07,"$4.330.268,14",7
FCA 0003-00029229,Mercovan Argentina S.A.,2026-03-17,"$6.419.092,35",0
FCA 0003-00029258,Mercovan Argentina S.A.,2026-03-19,"$1.379.642,00",0
FCA 0003-00029259,Mercovan Argentina S.A.,2026-03-19,"$1.391.742,00",0
FCA 0003-00029264,Mercovan Argentina S.A.,2026-03-19,"$3.146.412,37",0
FCA 0003-00029281,Mercovan Argentina S.A.,2026-03-20,"$4.738.211,90",0
FCA 0003-00029333,Mercovan Argentina S.A.,2026-03-25,"$2.289.091,31",0
FCA 0003-00029351,Mercovan Argentina S.A.,2026-03-26,"$2.894.919,45",0
