id,Dia,Cliente,Operacion,Booking,Contenedor,Volumen,Precinto,Observaciones,Estado,Hora,e-tally,fecha_registro,key,chofer,Fecha y Hora Fin,Observaciones trafico
1.0,25/08,Norfor Sa,37647-1-1,39033870,HLBU-320405-0,60.0,                    ,EXOLGAN 13HS,11:49 Realizado,8:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6824,2025-08-30T13:55:38.704501,HLBU-320405-0_39033870,,,
2.0,25/08,Pelama Chubut S.A.,37672-1-1,21984624,HLXU-540297-7,60.0,                    ,EXOLGAN 16HS,14:51 Realizado,8:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6846,2025-08-30T13:55:38.812379,HLXU-540297-7_21984624,,,
3.0,25/08,Pelama Chubut S.A.,37673-1-1,23475304,GCXU-244120-3,30.0,                    ,EXOLGAN 16HS,13:51 Realizado,8:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6847,2025-08-30T13:55:38.907084,GCXU-244120-3_23475304,,,
4.0,25/08,Norfor Sa,37652-1-1,39033870,FANU-345337-3,60.0,                    ,EXOLGAN 13HS,11:48 Realizado,8:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6826,2025-08-30T13:55:39.002919,FANU-345337-3_39033870,,,
5.0,25/08,Borax Argentina S A,37674-1-1,ZIMUBUE9042762,TEMU-439011-3,30.0,                    ,TERMINAL 4   11HS,11:40 Realizado,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6849,2025-08-30T13:55:39.094526,TEMU-439011-3_ZIMUBUE9042762,,,
6.0,25/08,Norfor Sa,37648-1-1,39033870,HAMU-317270-7,60.0,                    ,EXOLGAN 13HS,12:06 Realizado,8:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6825,2025-08-30T13:55:39.188556,HAMU-317270-7_39033870,,,
7.0,26/08,Minera Santa Rita Sr...,37644-1-1,25001EC03008692Y,RFCU-401700-7,60.0,                    ,TRP    11HS,11:28 Realizado,8:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6831,2025-08-30T13:55:39.285467,RFCU-401700-7_25001EC03008692Y,,,
8.0,26/08,Borax Argentina S A,37676-1-1,EBKG13874473,FCIU-344323-4,30.0,                    ,EXOLGAN 13HS,14:11 Realizado,8:30 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6844,2025-08-30T13:55:39.37684,FCIU-344323-4_EBKG13874473,,,
9.0,26/08,Borax Argentina S A,37658-1-1,EBKG13874473,MSDU-271153-8,30.0,                    ,EXOLGAN   13HS,15:23 Realizado,8:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6837,2025-08-30T13:55:39.467197,MSDU-271153-8_EBKG13874473,,,
10.0,26/08,Borax Argentina S A,37666-1-1,EBKG13874473,CXDU-142903-2,30.0,                    ,EXOLGAN   13HS,11:57 Realizado,8:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6840,2025-08-30T13:55:39.555856,CXDU-142903-2_EBKG13874473,,,
11.0,26/08,Minera Santa Rita Sr...,37671-1-1,25001EC03008692Y,CCLU-765317-0,60.0,                    ,TRP  17HS,15:22 Realizado,8:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6834,2025-08-30T13:55:39.643091,CCLU-765317-0_25001EC03008692Y,,,
12.0,26/08,Borax Argentina S A,37656-1-1,EBKG13874473,MSCU-348856-0,30.0,                    ,EXOLGAN  13HS,15:46 Realizado,8:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6835,2025-08-30T13:55:39.733282,MSCU-348856-0_EBKG13874473,,,
13.0,26/08,Borax Argentina S A,37659-1-1,EBKG13874473,MEDU-521159-1,30.0,                    ,EXOLGAN   13HS,14:14 Realizado,8:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6838,2025-08-30T13:55:39.818299,MEDU-521159-1_EBKG13874473,,,
14.0,26/08,Minera Santa Rita Sr...,37663-1-1,25001EC03008692Y,TRHU-490724-1,60.0,                    ,TRP  11HS,11:28 Realizado,8:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6832,2025-08-30T13:55:39.910352,TRHU-490724-1_25001EC03008692Y,,,
15.0,26/08,Borax Argentina S A,37665-1-1,EBKG13874473,TGBU-319086-7,30.0,                    ,EXOLGAN   13HS,11:52 Realizado,8:30 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6839,2025-08-30T13:55:40.018146,TGBU-319086-7_EBKG13874473,,,
16.0,26/08,Borax Argentina S A,37668-1-1,EBKG13874473,MEDU-684641-0,30.0,                    ,EXOLGAN   13HS,11:52 Realizado,8:30 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6842,2025-08-30T13:55:40.10469,MEDU-684641-0_EBKG13874473,,,
17.0,26/08,Borax Argentina S A,37667-1-1,EBKG13874473,XINU-109853-0,30.0,                    ,EXOLGAN   13HS,14:11 Realizado,8:30 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6841,2025-08-30T13:55:40.189437,XINU-109853-0_EBKG13874473,,,
18.0,26/08,Minera Santa Rita Sr...,37670-1-1,25001EC03008692Y,FFAU-343841-5,60.0,                    ,TRP   11HS,11:28 Realizado,8:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6833,2025-08-30T13:55:40.280381,FFAU-343841-5_25001EC03008692Y,,,
19.0,26/08,Borax Argentina S A,37675-1-1,EBKG13874473,TCKU-376157-6,30.0,                    ,EXOLGAN  13HS,14:11 Realizado,8:30 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6843,2025-08-30T13:55:40.386877,TCKU-376157-6_EBKG13874473,,,
20.0,26/08,Borax Argentina S A,37657-1-1,EBKG13874473,MSNU-289429-6,30.0,                    ,EXOLGAN   13HS,14:24 Realizado,8:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6836,2025-08-30T13:55:40.483421,MSNU-289429-6_EBKG13874473,,,
21.0,27/08,Eskabe S.A.,37783-1-1,24595442,HLXU-537526-0,60.0,                    ,T4 13HS,11:48 Realizado,8:30 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6887,2025-08-30T13:55:40.578681,HLXU-537526-0_24595442,,,
22.0,27/08,Eskabe S.A.,37780-1-1,24595442,HLXU-534811-4,60.0,                    ,T4 13HS,11:48 Realizado,8:30 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6886,2025-08-30T13:55:40.673483,HLXU-534811-4_24595442,,,
23.0,27/08,Hdv Leather S.R.L.,37714-1-1,25001EC01054146H,MSMU-777155-7,60.0,                    ,EXOLGAN   13HS,12:31 Realizado,8:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6858,2025-08-30T13:55:40.761885,MSMU-777155-7_25001EC01054146H,,,
24.0,27/08,Hdv Leather S.R.L.,37715-1-1,25001EC01054146H,MSDU-735591-2,60.0,                    ,EXOLGAN  13HS,12:31 Realizado,8:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6859,2025-08-30T13:55:40.849157,MSDU-735591-2_25001EC01054146H,,,
25.0,27/08,Lift Van Int. Co S.A,37534-1-1,19870113,UACU-391933-3,0.0,                    ,EXOLGAN   16HS,14:36 Realizado,8:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6795,2025-08-30T13:55:40.937185,UACU-391933-3_19870113,,,
26.0,27/08,Mercovan Argentina S...,37704-1-1,35566959,UACU-842757-3,50.0,                    ,EXOLGAN 9HS,09:35 Realizado,8:30 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6855,2025-08-30T13:55:41.026211,UACU-842757-3_35566959,,,
27.0,28/08,Lawter Argentina S.A...,37760-1-1,ZIMUBUE9042951,ZCSU-725368-0,60.0,                    ,T4 13HS,14:38 Realizado,8:30 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6893,2025-08-30T13:55:41.118669,ZCSU-725368-0_ZIMUBUE9042951,,,
28.0,28/08,Uld Global Trade Srl,37732-1-1,EBKG13905315,MSBU-132063-4,30.0,                    ,EXOLGAN 10HS,09:43 Realizado,8:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6857,2025-08-30T13:55:41.213625,MSBU-132063-4_EBKG13905315,,,
29.0,28/08,Uld Global Trade Srl,37731-1-1,EBKG13905315,MSBU-132099-5,30.0,                    ,exolgan 10hs,09:43 Realizado,8:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6856,2025-08-30T13:55:41.305013,MSBU-132099-5_EBKG13905315,,,
30.0,28/08,Lawter Argentina S.A...,37757-1-1,ZIMUBUE9042951,ZCSU-798133-0,60.0,                    ,t4 13hs,14:38 Realizado,8:30 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6891,2025-08-30T13:55:41.400942,ZCSU-798133-0_ZIMUBUE9042951,,,
31.0,28/08,Lawter Argentina S.A...,37761-1-1,ZIMUBUE9042951,ZCSU-754781-2,60.0,                    ,T4 13HS,14:37 Realizado,8:30 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6894,2025-08-30T13:55:41.569543,ZCSU-754781-2_ZIMUBUE9042951,,,
32.0,28/08,Lawter Argentina S.A...,37762-1-1,ZIMUBUE9042951,ZCSU-678924-1,60.0,                    ,T4 13HS,14:37 Realizado,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6895,2025-08-30T13:55:41.655383,ZCSU-678924-1_ZIMUBUE9042951,,,
33.0,28/08,Isischu Srl,37758-1-1,BUA0348795,BMOU-645582-1,0.0,                    ,TRP 15HS,14:39 Realizado,8:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=6879,2025-08-30T13:55:41.740566,BMOU-645582-1_BUA0348795,,,
