Dia,Cliente,Operacion,Contenedor,Conocim.,Envase,Cant.,Volumen,Ubic.,Estado,Hora,e-tally,Salida
01/10,Geo Logistics Argent...,38157-2-1,JXLU-785431-5,SZ25070362B,Bultos,9.0,12.0,IA9,12:11 Realizado,8:00 ,http://dassa.mqbic.com/PublicTally.php?id=2520,http://dassa.mqbic.com/NewTallySalida.php?id=745
01/10,Mercovan Argentina S...,38135-2-1,ZCSU-849076-9,MVANES20252808,Bultos,312.0,60.0,IA9,16:45 Realizado,8:30 ,http://dassa.mqbic.com/PublicTally.php?id=2488,
01/10,Noah Servicess.R.L.,38324-2-1,CMAU-430429-0,IBC1377772B,Bultos,1.0,10.0,EA9,12:22 Realizado,9:00 ,http://dassa.mqbic.com/PublicTally.php?id=2605,http://dassa.mqbic.com/NewTallySalida.php?id=760
01/10,Noah Servicess.R.L.,38324-2-1,CMAU-430429-0,IBC1377772B,Bultos,1.0,10.0,EA9,18:46 Realizado,9:00 ,http://dassa.mqbic.com/PublicTally.php?id=2605,http://dassa.mqbic.com/NewTallySalida.php?id=760
01/10,Noah Servicess.R.L.,38324-2-1,CMAU-430429-0,IBC1377772B,Bultos,1.0,10.0,EA9,18:33 Realizado,9:00 ,http://dassa.mqbic.com/PublicTally.php?id=2605,http://dassa.mqbic.com/NewTallySalida.php?id=760
01/10,Espert S.A.,38165-0-1,,2025/89672PY207,Bultos,40.0,8.2,RZ-1A,En curso,9:30 ,-,-
01/10,Espert S.A.,38165-0-1,,2025/89672PY207,Bultos,40.0,8.2,EA9,En curso,9:30 ,-,-
01/10,Aspee Monee,38187-0-1,TLLU-518514-0,MEDUOO433488,Contenedor,1.0,0.0,PLZA,14:51 Realizado,9:30 ,-,-
01/10,Aspee Monee,38201-0-1,MSDU-733325-6,MEDUOO433637,Contenedor,1.0,0.0,PLZA,09:57 Realizado,9:30 ,-,-
01/10,Mercovan Argentina S...,38135-2-1,ZCSU-849076-9,MVANES20252808,Bultos,312.0,60.0,IA9,16:26 Realizado,8:30 ,http://dassa.mqbic.com/PublicTally.php?id=2488,
01/10,Noah Servicess.R.L.,38324-3-1,CMAU-430429-0,IBC1377772C,Bultos,69.0,15.0,IA7,12:22 Realizado,9:00 ,http://dassa.mqbic.com/PublicTally.php?id=2605,http://dassa.mqbic.com/NewTallySalida.php?id=760
01/10,Noah Servicess.R.L.,38324-3-1,CMAU-430429-0,IBC1377772C,Bultos,69.0,15.0,IA7,18:46 Realizado,9:00 ,http://dassa.mqbic.com/PublicTally.php?id=2605,http://dassa.mqbic.com/NewTallySalida.php?id=760
01/10,Noah Servicess.R.L.,38324-3-1,CMAU-430429-0,IBC1377772C,Bultos,69.0,15.0,IA7,18:33 Realizado,9:00 ,http://dassa.mqbic.com/PublicTally.php?id=2605,http://dassa.mqbic.com/NewTallySalida.php?id=760
01/10,Noah Servicess.R.L.,38324-1-1,CMAU-430429-0,IBC1377772A,Bultos,1.0,15.0,NV5,12:22 Realizado,9:00 ,http://dassa.mqbic.com/PublicTally.php?id=2605,http://dassa.mqbic.com/NewTallySalida.php?id=760
