Dia,Cliente,Operacion,Contenedor,Conocim.,Envase,Cant.,Volumen,Ubic.,Estado,Hora,e-tally,Salida
30/09,Bymar Transforwardin...,38282-1-1,HLXU-855489-1,EM01004353,Bultos,94.0,60.0,ANEX-A1,En curso,8:30 ,http://dassa.mqbic.com/PublicTally.php?id=2560,
30/09,Chemotecnica Sa,38004-1-1,YMLU-354611-2,YMJAB237005023,Pallets,20.0,26.0,NV4,En curso,8:30 ,http://dassa.mqbic.com/PublicTally.php?id=2443,http://dassa.mqbic.com/NewTallySalida.php?id=736
30/09,Sistema Obraseco Srl,38345-1-1,FCIU-811383-1,OE00SH250702918,Bultos,620.0,65.0,IB2,En curso,8:30 ,http://dassa.mqbic.com/PublicTally.php?id=2609,http://dassa.mqbic.com/NewTallySalida.php?id=731
30/09,Geo Logistics Argent...,38157-4-1,JXLU-785431-5,SZ25070362D,Bultos,6.0,9.0,IA8,09:03 Realizado,8:30 ,http://dassa.mqbic.com/PublicTally.php?id=2520,
30/09,Concept Cinema S.A,38225-0-1,,UY0963/25,Bultos,84.0,10.0,IA2,Pendiente,8:30 ,-,-
30/09,Bymar Transforwardin...,38282-2-1,HLXU-855489-1,EM01004402,Bultos,1.0,6.0,PA-A,En curso,8:30 ,http://dassa.mqbic.com/PublicTally.php?id=2560,
30/09,Baires International,37226-2-1,OOCU-755349-9,ARBAIT310725,Bultos,598.0,70.0,IB6,En curso,8:30 ,http://dassa.mqbic.com/PublicTally.php?id=2233,
30/09,Mercovan Argentina S...,37878-1-1,GLDU-523598-7,MVANES20252407,Bultos,160.0,28.0,ANEX-A1,En curso,8:30 ,http://dassa.mqbic.com/PublicTally.php?id=2400,
30/09,Fenisan S.A.,38441-0-1,MRKU-067396-2,HBOL4230,Contenedor,1.0,0.0,PLZA,10:50 Realizado,9:00 ,-,-
30/09,Chemotecnica Sa,37710-2-1,TEMU-150536-9,QT25Y8107622,Pallets,20.0,26.0,NV4,11:44 Realizado,9:00 ,http://dassa.mqbic.com/PublicTally.php?id=2360,http://dassa.mqbic.com/NewTallySalida.php?id=733
30/09,Compañia Bulk S.A.,38285-0-3,TGBU-627926-4,SY250662715,Contenedor,1.0,0.0,PLZA,09:34 Realizado,9:30 ,-,-
30/09,Fenisan S.A.,38441-0-2,MSKU-196898-0,HBOL4230,Contenedor,1.0,0.0,PLZA,10:50 Realizado,9:00 ,-,-
30/09,Refractarios Argenti...,38382-2-1,MSBU-153268-0,TSN25060158,Bultos,25.0,25.0,IA7,En curso,10:00,http://dassa.mqbic.com/PublicTally.php?id=2626,http://dassa.mqbic.com/NewTallySalida.php?id=738
30/09,Refractarios Argenti...,38382-1-1,MSBU-157538-4,TSN25060158,Bultos,25.0,25.0,IA9,En curso,10:00,http://dassa.mqbic.com/PublicTally.php?id=2625,http://dassa.mqbic.com/NewTallySalida.php?id=737
30/09,Compañia Bulk S.A.,38285-0-2,EITU-192870-7,SY250662715,Contenedor,1.0,0.0,PLZA,09:34 Realizado,9:30 ,-,-
30/09,Grupo Leal-Tex S.R.L...,38459-0-1,MRSU-867729-4,GILSH250700186,Contenedor,1.0,0.0,PLZA,09:03 Realizado,9:00 ,-,-
30/09,Blanco Mamila Srl,38477-0-1,PIDU-454214-7,TWLE25070178,Contenedor,1.0,0.0,PLZA,En curso,9:00 ,-,-
30/09,Southcross Logistics...,38327-1-1,MRKU-071447-0,ROECHN25074678,Bultos,28.0,45.0,IB3,10:50 Realizado,8:00 ,http://dassa.mqbic.com/PublicTally.php?id=2591,http://dassa.mqbic.com/NewTallySalida.php?id=730
30/09,Verde Fuerte Srl,38002-1-1,GCXU-653898-0,SRTME000817,Pallets,20.0,50.0,IB4,En curso,8:00 ,http://dassa.mqbic.com/PublicTally.php?id=2444,
30/09,Baires International,37226-1-1,TGBU-854860-8,ARBAIT310725,Bultos,110.0,70.0,IB5,En curso,8:30 ,http://dassa.mqbic.com/PublicTally.php?id=2234,
30/09,Compañia Bulk S.A.,38285-0-1,EMCU-173040-1,SY250662715,Contenedor,1.0,0.0,PLZA,09:34 Realizado,9:30 ,-,-
30/09,Chemotecnica Sa,37710-1-1,MRSU-058556-6,QT25Y8107622,Pallets,20.0,26.0,NV4,11:44 Realizado,9:00 ,http://dassa.mqbic.com/PublicTally.php?id=2359,http://dassa.mqbic.com/NewTallySalida.php?id=732
01/10,Lift Van Int. Co S.A,38170-1-1,ZCSU-691113-3,LIFBUE25090010,Bultos,236.0,65.0,IA6,Pendiente,8:00 ,http://dassa.mqbic.com/PublicTally.php?id=2524,
01/10,Jupam Sa,38326-0-1,TCKU-664318-1,TWLE25070183,Contenedor,1.0,0.0,PLZA,Pendiente,8:30 ,-,-
01/10,Mercovan Argentina S...,38135-2-1,ZCSU-849076-9,MVANES20252808,Bultos,312.0,60.0,IA9,Pendiente,8:30 ,http://dassa.mqbic.com/PublicTally.php?id=2488,
01/10,Mercovan Argentina S...,38370-1-1,UACU-824925-5,MVANLT20250608,Bultos,7.0,38.0,ANEX-A1,Pendiente,8:30 ,http://dassa.mqbic.com/PublicTally.php?id=2621,
01/10,Sk Distributors S.R....,38501-0-1,MRKU-075134-5,DLSZ250800040,Contenedor,1.0,0.0,PLZA,Pendiente,8:30 ,-,-
01/10,Geo Logistics Argent...,38157-2-1,JXLU-785431-5,SZ25070362B,Bultos,9.0,12.0,IA9,Pendiente,8:00 ,http://dassa.mqbic.com/PublicTally.php?id=2520,
01/10,Mercovan Argentina S...,38041-1-1,UACU-388583-0,MVANES20251208,Bultos,57.0,13.0,ANEX-A1,Pendiente,8:30 ,http://dassa.mqbic.com/PublicTally.php?id=2472,
02/10,Mercovan Argentina S...,38281-1-1,MEDU-291435-3,MVANES17082025,Bultos,90.0,15.0,ANEX-A1,Pendiente,8:00 ,http://dassa.mqbic.com/PublicTally.php?id=2561,
02/10,Lift Van Int. Co S.A,38456-1-1,BSIU-284883-1,LIFBUE25080014,Bultos,3.0,14.0,ANEX-A1,Pendiente,8:00 ,http://dassa.mqbic.com/PublicTally.php?id=2658,
02/10,Mercovan Argentina S...,38370-1-2,FANU-136696-3,MVANLT20250708,Bultos,1.0,19.0,ANEX-A1,Pendiente,8:30 ,http://dassa.mqbic.com/PublicTally.php?id=2627,
