Dia,Cliente,Operacion,Contenedor,Conocim.,Envase,Cant.,Volumen,Ubic.,Estado,Hora,e-tally,Salida
03/10,Sanyo Color Sa,38497-1-1,MNBU-042516-4,257297277,Pallets,3.0,4.2,IB8,En curso,8:30 ,http://dassa.mqbic.com/PublicTally.php?id=2677,
03/10,Lift Van Int. Co S.A,38203-1-1,TCKU-338199-8,LIFBUE25090011,Bultos,76.0,25.0,ANEX-A1,Pendiente,8:00 ,http://dassa.mqbic.com/PublicTally.php?id=2547,
03/10,Aoda Sa,38578-0-1,DRYU-265903-1,NB250763882,Contenedor,1.0,0.0,PLZA,Pendiente,8:00 ,-,-
03/10,Eramine Sudamerica S...,38131-2-1,LYGU-021127-0,NSHEC250739660,Bultos,500.0,70.0,IA6,Pendiente,8:30 ,http://dassa.mqbic.com/PublicTally.php?id=2493,
03/10,Pantografos Cam Cnc ...,38241-0-1,DRYU-957373-1,5000STB/CL/2025,Bultos,10.0,50.0,ANEX-A1,En curso,9:00 ,-,-
03/10,Pantografos Cam Cnc ...,38240-0-1,EGHU-849387-9,5000STB/CL/2025,Bultos,8.0,50.0,PLZA,En curso,9:00 ,-,-
03/10,Sk Distributors S.R....,38543-0-1,BEAU-416511-4,DLNB2508488,Contenedor,1.0,0.0,PLZA,Pendiente,8:30 ,-,-
03/10,Indugroup S.A.,38336-1-1,HAMU-353826-8,OS25/175387/1,Bultos,46.0,75.0,IB1,Pendiente,8:30 ,http://dassa.mqbic.com/PublicTally.php?id=2608,
03/10,Indugroup S.A.,38510-1-1,TGBU-631864-8,514961/1,Bultos,381.0,50.0,ANEX-A1,Pendiente,8:30 ,http://dassa.mqbic.com/PublicTally.php?id=2682,
03/10,Ricoltex Srl,38527-0-1,CMAU-731519-6,EID0878688,Contenedor,1.0,0.0,PLZA,Pendiente,8:30 ,-,-
03/10,Chelatex Sas,38402-1-1,MSBU-729385-5,NBOE25016249,Rollos,1229.0,70.0,CTNNAC,Pendiente,9:00 ,http://dassa.mqbic.com/PublicTally.php?id=2634,
03/10,Mercovan Argentina S...,37918-1-1,CAAU-236338-6,MVANES20251608,Bultos,178.0,30.0,ANEX-A1,Pendiente,8:00 ,http://dassa.mqbic.com/PublicTally.php?id=2416,
03/10,Mercovan Argentina S...,38135-1-1,ZCSU-849076-9,MVANES20250828-02,Bultos,1.0,5.0,NV1,Pendiente,9:30 ,http://dassa.mqbic.com/PublicTally.php?id=2488,
03/10,Eramine Sudamerica S...,38131-1-1,LYGU-021135-1,NSHEC250739660,Bultos,500.0,70.0,IA6,Pendiente,8:30 ,http://dassa.mqbic.com/PublicTally.php?id=2492,
03/10,Aspee Monee,38388-0-1,MSKU-167653-0,255476525,Contenedor,1.0,0.0,PLZA,Pendiente,9:00 ,-,-
03/10,Juguetech Sa,38547-0-1,MEDU-891867-5,SZXS067814,Contenedor,1.0,0.0,PLZA,Pendiente,9:00 ,-,-
06/10,Mercovan Argentina S...,37917-1-1,FANU-373775-0,MVANES20252008-1,Bultos,231.0,50.0,NV2,Pendiente,8:00 ,http://dassa.mqbic.com/PublicTally.php?id=2417,
06/10,Lift Van Int. Co S.A,38438-1-1,DRYU-417686-0,LIFBUE25080020,Bultos,6.0,40.0,IB5,Pendiente,8:00 ,http://dassa.mqbic.com/PublicTally.php?id=2637,
06/10,Alas Comex S.A,38557-0-1,FFAU-733764-0,NGBAGN25070154,Contenedor,1.0,0.0,PLZA,Pendiente,8:00 ,-,-
07/10,Mercovan Argentina S...,38066-1-1,TRHU-374815-0,MVANES20252008-02,Bultos,153.0,35.0,N23-1,Pendiente,8:00 ,http://dassa.mqbic.com/PublicTally.php?id=2475,
08/10,Mercovan Argentina S...,38186-1-1,DFSU-433491-0,MVANES20251508,Bultos,336.0,55.0,IB9,Pendiente,8:00 ,http://dassa.mqbic.com/PublicTally.php?id=2530,
