Comprobante,Cliente,Vencimiento,Saldo,Dias
FCA 0003-00023039,Jupam Sa,2024-09-18,"$25.808,21",268
FCA 0003-00025615,Jupam Sa,2025-05-15,"$1.057.540,00",29
FCA 0003-00025643,Jupam Sa,2025-05-16,"$1.066.736,00",28
FCA 0003-00025692,Luial Sa,2025-05-21,"$1.066.736,00",23
FCA 0003-00025694,Jupam Sa,2025-05-21,"$1.066.736,00",23
FCA 0003-00025725,Jupam Sa,2025-05-22,"$1.062.138,00",22
FCA 0003-00025726,Jupam Sa,2025-05-22,"$1.062.138,00",22
FCA 0003-00025739,Jupam Sa,2025-05-23,"$1.057.540,00",21
FCA 0003-00025740,Jupam Sa,2025-05-23,"$1.057.540,00",21
FCA 0003-00025741,Jupam Sa,2025-05-23,"$1.057.540,00",21
FCA 0003-00025760,Jupam Sa,2025-05-26,"$1.066.736,00",18
FCA 0003-00025761,Jupam Sa,2025-05-26,"$1.066.736,00",18
FCA 0003-00025936,Jupam Sa,2025-06-09,"$1.103.520,00",4
FCA 0003-00025937,Jupam Sa,2025-06-09,"$1.103.520,00",4
FCA 0003-00025938,Jupam Sa,2025-06-09,"$1.103.520,00",4
FCA 0003-00025939,Jupam Sa,2025-06-09,"$2.207.040,00",4
FCA 0003-00025986,Jupam Sa,2025-06-12,"$1.103.520,00",1
FCA 0003-00025987,Jupam Sa,2025-06-12,"$1.103.520,00",1
FCA 0003-00025988,Jupam Sa,2025-06-12,"$1.103.520,00",1
FCA 0003-00025989,Jupam Sa,2025-06-12,"$1.103.520,00",1
FCA 0003-00025990,Jupam Sa,2025-06-12,"$1.103.520,00",1
FCA 0003-00025991,Jupam Sa,2025-06-12,"$1.103.520,00",1
FCA 0003-00025992,Jupam Sa,2025-06-12,"$1.103.520,00",1
