Dia,Cliente,Contenedor,Observaciones,Volumen,Cantidad,Kilos
03/01,Hector Reboratti,FFAU-306984-7,-,60,26,26660
03/01,Norfor Sa,MSDU-886103-1,-,60,14,25620
03/01,Norfor Sa,MSDU-589400-5,-,60,14,25620
03/01,Norfor Sa,MEDU-704636-7,-,60,14,25620
03/01,Norfor Sa,FDCU-019997-3,-,60,14,25620
03/01,Norfor Sa,MSNU-568483-7,-,60,14,25620
03/01,Norfor Sa,MSMU-896457-1,-,57,13,25941
03/01,Norfor Sa,MSDU-594726-0,-,61,14,27936
03/01,Norfor Sa,TCNU-329389-1,-,57,13,25941
03/01,Norfor Sa,MSMU-799241-3,-,65,15,29932
03/01,Norfor Sa,MSMU-478125-3,-,60,14,27467
03/01,Norfor Sa,MSDU-535464-5,-,56,13,25505
03/01,Norfor Sa,MSMU-863281-2,-,64,15,29429
06/01,Norfor Sa,MSMU-807600-9,-,60,12,25667
06/01,Norfor Sa,TRHU-505055-4,-,60,12,25667
06/01,Norfor Sa,MSMU-783169-8,EXOLGAN  13HS,60,12,25667
