Comprobante,Cliente,Vencimiento,Saldo,Dias
FCA 0003-00029201,Lawter Argentina S.A.,2026-02-27,"$1.917.910,50",21
FCA 0003-00029202,Lawter Argentina S.A.,2026-02-27,"$2.876.865,75",21
FCA 0003-00029203,Lawter Argentina S.A.,2026-02-27,"$1.917.910,50",21
FCA 0003-00029204,Lawter Argentina S.A.,2026-02-27,"$1.917.910,50",21
FCA 0003-00029205,Lawter Argentina S.A.,2026-02-27,"$1.917.910,50",21
FCA 0003-00029206,Lawter Argentina S.A.,2026-02-27,"$862.040,30",21
FCA 0003-00029222,Lawter Argentina S.A.,2026-02-27,"$2.876.865,75",21
FCA 0003-00029272,Lawter Argentina S.A.,2026-03-05,"$2.013.803,00",15
FCA 0003-00029287,Lawter Argentina S.A.,2026-03-06,"$4.027.606,00",14
FCA 0003-00029288,Lawter Argentina S.A.,2026-03-06,"$3.020.704,50",14
FCA 0003-00029289,Lawter Argentina S.A.,2026-03-06,"$3.020.704,50",14
FCA 0003-00029292,Lawter Argentina S.A.,2026-03-06,"$4.282.928,10",14
FCA 0003-00029368,Lawter Argentina S.A.,2026-03-12,"$3.020.704,50",8
FCA 0003-00029369,Lawter Argentina S.A.,2026-03-12,"$2.013.803,00",8
FCA 0003-00029370,Lawter Argentina S.A.,2026-03-12,"$3.020.704,50",8
FCA 0003-00029379,Lawter Argentina S.A.,2026-03-13,"$2.510.943,60",7
FCA 0003-00029380,Lawter Argentina S.A.,2026-03-13,"$3.766.415,40",7
FCA 0003-00029424,Lawter Argentina S.A.,2026-03-19,"$3.322.774,95",1
FCA 0003-00029428,Lawter Argentina S.A.,2026-03-19,"$4.066.574,05",1
FCA 0003-00029429,Lawter Argentina S.A.,2026-03-19,"$5.766.134,00",1
FCA 0003-00029457,Lawter Argentina S.A.,2026-03-20,"$4.430.366,60",0
FCA 0003-00029458,Lawter Argentina S.A.,2026-03-20,"$1.006.901,50",0
